,brainid,raw_somaxyz,swc42k_raw_somaxyz,swc42k_raw_somaxyz_dist,swc1891_swcfile,swc1891_raw_somaxyz,swc1891_raw_somaxyz_dist,raw_somaregion,regi_somaxyz,swc42k_regi_somaxyz,regi_somaregion_n671_u32,regi_somaregion,regi_somaregion_n671_u32_check,regi_somaregion_check,swc1891_42kfile,swc1891_42k_length,swc1891_gsfile,swc1891_gs_length,ESA_gs,ESA_reon,ESA,DSA_gs,DSA_recon,DSA,PDS_gs,PDS_recon,PDS
43750,18465,"[5980.139, 13391.498, 5311.525]","[5980.14, 13391.5, 5311.52]",0.005477225574507,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//18465/18465_00219.swc,[ 5976.896 13390.912  5308.032],4.802238436395902,,"[272.424, 183.086, 373.634]","[272.199, 183.035, 373.699]",672,CP,672,CP,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord//50k_0602/18465/Img_X_2990.07_Y_6695.75_Z_2655.76.v3dpbd.swc,9250.289280891491,./adapt_box/18465/18465_00219.swc,14511.974117057962,9.372722391788407,2.2791866130500438,5.825954502419226,36.16818041976907,45.78057675849324,40.974378589131156,0.1763285,0.0141441,0.09523630142211914
43751,18465,"[7824.87, 14985.21, 6763.915]","[7824.88, 14985.2, 6763.92]",0.0149999999991147,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//18465/pre_18465_00267.swc,[ 7812.369 14990.311  6763.257],13.517698250812206,,"[358.1, 200.035, 352.675]","[357.867, 199.992, 352.741]",484682470,ProS,484682470,ProS,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord//50k_0602/18465/Img_X_3912.44_Y_7492.6_Z_3381.96.v3dpbd.swc,7641.461026850595,./adapt_box/18465/pre_18465_00267.swc,9175.079934502826,16.310528907154435,1.723416239392267,9.016972573273351,116.02625401404782,0.0,58.01312700702391,0.124046244,0.0,0.06202312186360359
43763,18465,"[10856.081, 13209.04, 5525.043]","[10856.08, 13209.04, 5525.04]",0.0031622776599497,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//18465/18465_00230.swc,[10853.696 13206.976  5530.016],5.888892085953169,,"[288.144, 174.816, 309.623]","[287.855, 174.7, 309.601]",718,VPL,718,VPL,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord//50k_0602/18465/Img_X_5428.04_Y_6604.52_Z_2762.52.v3dpbd.swc,12422.969421313139,./adapt_box/18465/18465_00230.swc,13636.304966803102,5.2142931437806155,10.256399387344825,7.73534626556272,41.57357275455453,109.45919696754015,75.51638486104734,0.07963087,0.08150216,0.08056651055812836
43771,18465,"[10556.627, 14069.701, 5715.08]","[10556.62, 14069.7, 5715.08]",0.007071067811248,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//18465/18465_00238.swc,[10557.12  14070.272  5707.856],7.263282040510658,,"[299.396, 189.061, 314.262]","[299.19, 189.047, 314.247]",797,ZI,797,ZI,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord//50k_0602/18465/Img_X_5278.31_Y_7034.85_Z_2857.54.v3dpbd.swc,10404.622389560695,./adapt_box/18465/18465_00238.swc,13593.120292327461,11.799451259067181,9.689750785716667,10.744601022391924,39.43625886878482,51.06075408634392,45.24850647756437,0.23261234,0.15251131,0.19256183505058289
43774,18465,"[11941.633, 13056.582, 5167.595]","[11941.64, 13056.58, 5167.6]",0.0088317608661704,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//18465/18465_00241.swc,[11932.032 13060.672  5163.984],11.042944444305204,,"[271.156, 168.681, 294.415]","[270.961, 168.611, 294.438]",733,VPM,733,VPM,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord//50k_0602/18465/Img_X_5970.82_Y_6528.29_Z_2583.8.v3dpbd.swc,13258.75262767365,./adapt_box/18465/18465_00241.swc,14008.515494206547,5.338532762057867,6.978001686348904,6.158267224203385,41.463304936323496,45.7309397929934,43.597122364658446,0.07094546,0.10806046,0.0895029604434967
43775,18465,"[11418.892, 14571.063, 5369.353]","[11418.9, 14571.06, 5369.36]",0.0110453610169672,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//18465/18465_00242.swc,[11421.888 14571.2    5372.688],4.485198992241752,,"[283.171, 192.825, 301.073]","[282.951, 192.74, 301.101]",718,VPL,718,VPL,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord//50k_0602/18465/Img_X_5709.45_Y_7285.53_Z_2684.68.v3dpbd.swc,10819.711320850849,./adapt_box/18465/18465_00242.swc,14390.538584563557,9.57521377106369,11.789581300595934,10.682397535829812,38.525511506479646,116.0332434900352,77.27937749825742,0.18597823,0.088068776,0.13702350854873657
43776,18465,"[12785.896, 14068.56, 5289.53]","[12785.9, 14068.56, 5289.52]",0.0107703296132543,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//18465/18465_00243.swc,[12785.984 14054.016  5290.72 ],14.592867435839928,,"[279.318, 183.707, 285.542]","[279.033, 183.607, 285.563]",733,VPM,733,VPM,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord//50k_0602/18465/Img_X_6392.95_Y_7034.28_Z_2644.76.v3dpbd.swc,12440.588801544684,./adapt_box/18465/18465_00243.swc,16599.16694689036,6.196939224741817,2.2248730140761697,4.210906119408993,32.905222366097625,37.16778876685447,35.03650556647605,0.09511344,0.004238817,0.04967612773180008
43778,18465,"[13755.854, 15897.054, 5199.301]","[13755.86, 15897.06, 5199.3]",0.0085440037457807,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//18465/18465_00245.swc,[13754.688 15888.32   5192.352],11.221894358797543,,"[277.155, 211.059, 274.5]","[276.851, 211.017, 274.556]",797,ZI,797,ZI,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord//50k_0602/18465/Img_X_6877.93_Y_7948.53_Z_2599.65.v3dpbd.swc,16581.414445768038,./adapt_box/18465/18465_00245.swc,33004.37458528782,17.880117120396864,1.5913216863900785,9.735719403393471,46.509219308382924,0.0,23.254609654191462,0.32627845,0.0,0.1631392240524292
43781,18465,"[10286.753, 16573.307, 6634.723]","[10286.76, 16573.3, 6634.72]",0.0103440804334012,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//18465/18465_00248.swc,[10278.08  16571.713  6632.848],9.015397384475902,,"[352.742, 218.033, 322.036]","[352.524, 218.053, 321.981]",632,DG-sg,632,DG-sg,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord//50k_0602/18465/Img_X_5143.38_Y_8286.65_Z_3317.36.v3dpbd.swc,6010.142685521054,./adapt_box/18465/18465_00248.swc,6540.498228616796,15.744802941488915,13.753080649453443,14.748941795471179,90.14007717967301,108.08396893889335,99.11202305928319,0.15572429,0.111258276,0.13349127769470215
43795,18465,"[22385.377, 15693.251, 5003.288]","[22385.4, 15693.26, 5003.28]",0.0259615099723693,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//18465/18465_00261.swc,[22382.016 15690.112  4995.024],9.457448810329284,,"[268.915, 200.654, 178.312]","[268.635, 200.588, 178.373]",685,VM,685,VM,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord//50k_0602/18465/Img_X_11192.7_Y_7846.63_Z_2501.64.v3dpbd.swc,21507.14309421116,./adapt_box/18465/18465_00261.swc,24256.0607954507,28.761819383237274,31.64243693965631,30.202128161446794,71.85333050900215,87.23578006479556,79.54455528689886,0.37878478,0.34614173,0.36246323585510254
