file,compare,region,Nodes,SomaSurface,Stems,Bifurcations,Branches,Tips,OverallWidth,OverallHeight,OverallDepth,AverageDiameter,Length,Surface,Volume,MaxEuclideanDistance,MaxPathDistance,MaxBranchOrder,AverageContraction,AverageFragmentation,AverageParent-daughterRatio,AverageBifurcationAngleLocal,AverageBifurcationAngleRemote,HausdorffDimension
./adapt_box/17302/17302_00001.swc,manual,CLA,5985,12.5664,8,39,84,46,955.842,809.778,180.48,1.99967,14317.4,89958.9,44979.5,655.865,1453.71,8,0.842342,70.2381,1,82.8742,76.8904,1.1418
./adapt_box/17302/17302_00001.swc,recons,CLA,595,3216.99,4,34,72,39,968.001,810.38,192,4.13378,10483.6,120537,188378,670.015,852.079,8,0.910397,7.25,0.887094,56.8408,68.9788,1.22531
./adapt_box/17302/17302_00005.swc,manual,CP,7547,12.5664,6,50,104,55,902.012,916.288,199.684,1.99973,17387.4,109249,54624.3,550.754,1086.14,7,0.876348,71.5577,1,71.0922,76.2372,1.10819
./adapt_box/17302/17302_00005.swc,recons,CP,574,3216.99,5,30,63,34,903.08,920,200,4.98641,10234.1,148483,252862,542.235,593.486,8,0.911066,8.09524,0.920317,50.1587,64.178,1.22607
./adapt_box/17302/17302_00021.swc,manual,VPM,7068,12.5664,5,42,87,46,889.754,985.951,176.528,1.99972,14001.4,87973.7,43986.9,548.135,647.105,9,0.922739,80.2299,1,65.7119,46.4945,1.11087
./adapt_box/17302/17302_00021.swc,recons,VPM,627,2123.72,3,36,75,40,892,994,182,2.51611,11380.5,84069.2,87163.5,553.708,642.029,9,0.951017,7.34667,0.933199,51.726,44.964,1.37263
./adapt_box/17302/17302_00030.swc,manual,AId6a,8433,12.5664,3,45,91,47,902.414,1021.81,339.953,1.99976,17831.4,112038,56019.1,702.75,2011.96,13,0.856146,91.6593,1,81.3666,86.2661,1.1421
./adapt_box/17302/17302_00030.swc,recons,AId6a,497,3216.99,3,31,63,33,904,1022,340,3.59557,8817.84,93943.7,119594,696.238,1043.21,10,0.912963,6.87302,0.953134,59.3811,64.924,1.21538
./adapt_box/17302/17302_00033.swc,manual,CP,11982,12.5664,8,59,124,66,945.955,843.324,233.871,1.99983,25127.1,157878,78939.2,662.25,2113.7,12,0.843362,95.621,1,89.5856,90.0445,1.17603
./adapt_box/17302/17302_00033.swc,recons,CP,486,3631.68,4,25,52,28,946,844,234,3.4,8662.54,84397.9,111288,645.51,1188.23,12,0.917153,8.32692,0.852203,56.0942,53.2813,1.19235
./adapt_box/17302/17302_00050.swc,manual,CP,11527,12.5664,4,83,168,86,969.99,1021.59,229.843,1.99983,26735.2,167982,83991.2,696.234,2223.27,14,0.880029,67.6071,1,77.6586,79.2915,1.18656
./adapt_box/17302/17302_00050.swc,recons,CP,571,3631.68,3,28,57,30,970,1022,230,3.47426,10281.3,99819,133035,673.362,849.622,7,0.938786,9,0.858602,50.3357,56.6277,1.2521
