,brainid,raw_somaxyz,swc42k_raw_somaxyz,swc42k_raw_somaxyz_dist,swc1891_swcfile,swc1891_raw_somaxyz,swc1891_raw_somaxyz_dist,raw_somaregion,regi_somaxyz,swc42k_regi_somaxyz,regi_somaregion_n671_u32,regi_somaregion,regi_somaregion_n671_u32_check,regi_somaregion_check,swc1891_42kfile
36112,18454,"[10545.511, 10748.157, 6698.459]","[10545.52, 10748.16, 6698.46]",0.0095393920143967,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//18454/18454_00063.swc,[10545.28  10754.112  6694.976],6.902657097089515,,"[329.402, 141.939, 313.79]","[329.136, 141.868, 313.842]",1072,MGd,1072,MGd,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/50k_0602/18454/Img_X_5272.76_Y_5374.08_Z_3349.23.v3dpbd.swc
36114,18454,"[11344.018, 10440.215, 5730.106]","[11344.02, 10440.22, 5730.1]",0.0080622577474592,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//18454/18454_00064.swc,[11344.    10444.032  5732.   ],4.261108893233544,,"[273.462, 142.136, 303.349]","[273.293, 142.128, 303.393]",718,VPL,718,VPL,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/50k_0602/18454/Img_X_5672.01_Y_5220.11_Z_2865.05.v3dpbd.swc
36115,18454,"[12542.597, 10573.61, 5598.666]","[12542.6, 10573.62, 5598.66]",0.0120415945792817,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//18454/18454_00065.swc,[12543.616 10572.224  5593.744],5.213965956928217,,"[267.34, 145.963, 288.076]","[267.157, 145.958, 288.128]",1020,PO,1020,PO,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/50k_0602/18454/Img_X_6271.3_Y_5286.81_Z_2799.33.v3dpbd.swc
36116,18454,"[11729.942, 10802.16, 5576.546]","[11729.94, 10802.16, 5576.54]",0.0063245553201872,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//18454/18454_01052.swc,[11729.984 10803.968  5578.   ],2.320505117426498,,"[267.664, 148.895, 298.154]","[267.486, 148.891, 298.201]",1020,PO,1020,PO,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/50k_0602/18454/Img_X_5864.97_Y_5401.08_Z_2788.27.v3dpbd.swc
36117,18454,"[11510.557, 10760.598, 5727.194]","[11510.56, 10760.6, 5727.2]",0.0069999999990873,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//18454/18454_01053.swc,[11513.984 10764.032  5728.   ],4.917959027888728,,"[274.115, 146.5, 301.12]","[273.937, 146.49, 301.165]",733,VPM,733,VPM,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/50k_0602/18454/Img_X_5755.28_Y_5380.3_Z_2863.6.v3dpbd.swc
36119,18454,"[12090.148, 11506.205, 5621.095]","[12090.14, 11506.2, 5621.1]",0.0106770782515658,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//18454/18454_00066.swc,[12092.032 11505.984  5622.   ],2.1017426103115944,,"[271.774, 157.778, 293.387]","[271.582, 157.763, 293.435]",733,VPM,733,VPM,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/50k_0602/18454/Img_X_6045.07_Y_5753.1_Z_2810.55.v3dpbd.swc
36121,18454,"[11109.961, 10996.213, 6240.359]","[11109.96, 10996.22, 6240.36]",0.0071414284280874,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//18454/18454_00067.swc,[11112.    10998.016  6240.   ],2.7453981496319586,,"[299.828, 145.339, 307.181]","[299.584, 145.3, 307.23]",733,VPM,733,VPM,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/50k_0602/18454/Img_X_5554.98_Y_5498.11_Z_3120.18.v3dpbd.swc
36128,18454,"[10358.617, 12460.436, 5566.112]","[10358.62, 12460.44, 5566.12]",0.009433981132436,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//18454/18454_00068.swc,[10361.984 12462.016  5566.   ],3.7209720504192254,,"[272.847, 170.236, 315.021]","[272.659, 170.212, 315.072]",718,VPL,718,VPL,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/50k_0602/18454/Img_X_5179.31_Y_6230.22_Z_2783.06.v3dpbd.swc
36130,18454,"[9999.546, 11518.188, 6792.186]","[9999.54, 11518.18, 6792.18]",0.0116619037889469,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//18454/18454_00069.swc,[ 9998.466 11524.823  6797.342],8.471951428095077,,"[334.458, 153.324, 319.782]","[334.221, 153.273, 319.829]",1079,MGv,1079,MGv,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/50k_0602/18454/Img_X_4999.77_Y_5759.09_Z_3396.09.v3dpbd.swc
36134,18454,"[11858.448, 11856.263, 5542.907]","[11858.44, 11856.26, 5542.9]",0.0110453610175436,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//18454/18454_01062.swc,[11862.016 11854.016  5544.   ],4.355947887658909,,"[269.637, 163.104, 296.223]","[269.445, 163.09, 296.272]",733,VPM,733,VPM,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/50k_0602/18454/Img_X_5929.22_Y_5928.13_Z_2771.45.v3dpbd.swc
36138,18454,"[12016.136, 12064.5, 5915.603]","[12016.14, 12064.5, 5915.6]",0.0049999999990177,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//18454/18454_00070.swc,[12017.984 12065.984  5916.   ],2.4031165181906826,,"[287.752, 162.862, 294.595]","[287.54, 162.829, 294.639]",733,VPM,733,VPM,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/50k_0602/18454/Img_X_6008.07_Y_6032.25_Z_2957.8.v3dpbd.swc
36140,18454,"[12801.894, 12050.706, 5795.66]","[12801.9, 12050.7, 5795.66]",0.0084852813733948,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//18454/18454_00072.swc,[12801.84  12048.269  5796.761],2.674712320979728,,"[282.172, 164.289, 284.535]","[281.961, 164.26, 284.58]",1020,PO,1020,PO,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/50k_0602/18454/Img_X_6400.95_Y_6025.35_Z_2897.83.v3dpbd.swc
36141,18454,"[12083.678, 12238.215, 6191.948]","[12083.68, 12238.22, 6191.94]",0.00964365076126,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//18454/18454_00073.swc,[12096.    12243.008  6190.   ],13.364102551237808,,"[302.37, 164.061, 294.258]","[302.143, 164.012, 294.299]",733,VPM,733,VPM,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/50k_0602/18454/Img_X_6041.84_Y_6119.11_Z_3095.97.v3dpbd.swc
36142,18454,"[11714.041, 12396.166, 5682.095]","[11714.04, 12396.16, 5682.1]",0.0078740078734213,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//18454/18454_01064.swc,[11713.984 12398.016  5682.   ],1.8533143284400695,,"[278.01, 168.986, 298.134]","[277.808, 168.962, 298.182]",733,VPM,733,VPM,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/50k_0602/18454/Img_X_5857.02_Y_6198.08_Z_2841.05.v3dpbd.swc
36170,18454,"[16746.799, 10833.665, 5656.321]","[16746.8, 10833.66, 5656.32]",0.0051961524237652,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//18454/18454_00074.swc,[16750.783 10838.976  5660.352],7.767106153516853,,"[271.073, 152.186, 235.48]","[270.863, 152.156, 235.512]",362,MD,362,MD,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/50k_0602/18454/Img_X_8373.4_Y_5416.83_Z_2828.16.v3dpbd.swc
36175,18454,"[14222.183, 12604.611, 5718.078]","[14222.18, 12604.62, 5718.08]",0.0096953597149317,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//18454/18454_00075.swc,[14230.016 12608.     5718.   ],8.535062624256174,,"[281.073, 175.728, 266.802]","[280.853, 175.691, 266.842]",1020,PO,1020,PO,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/50k_0602/18454/Img_X_7111.09_Y_6302.31_Z_2859.04.v3dpbd.swc
36281,18454,"[23533.99, 6543.819, 4515.399]","[23534.0, 6543.82, 4515.4]",0.0100995049366373,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//18454/pre_18454_00305.swc,[23536.725  6542.864  4516.012],2.961084092014969,,"[211.632, 120.091, 157.75]","[211.42, 120.018, 157.787]",672,CP,672,CP,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/50k_0602/18454/Img_X_11767_Y_3271.91_Z_2257.7.v3dpbd.swc
36366,18454,"[22338.354, 6802.282, 3944.17]","[22338.4, 6802.28, 3944.16]",0.0471168759596684,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//18454/18454_00080.swc,[22347.  6802.  3942.],8.918617605885537,,"[180.687, 124.492, 173.292]","[180.344, 124.484, 173.252]",672,CP,672,CP,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/50k_0602/18454/Img_X_11169.2_Y_3401.14_Z_1972.08.v3dpbd.swc
36368,18454,"[24186.619, 8216.269, 3260.246]","[24186.6, 8216.26, 3260.24]",0.0218632111093696,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//18454/pre_18454_00377.swc,[24188.  8220.  3262.],4.347877413175458,,"[132.006, 154.72, 140.471]","[131.73, 154.69, 140.486]",783,AId6a,783,AId6a,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/50k_0602/18454/Img_X_12093.3_Y_4108.13_Z_1630.12.v3dpbd.swc
36372,18454,"[24182.346, 7657.896, 3800.751]","[24182.4, 7657.9, 3800.76]",0.0548908006865352,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//18454/pre_18454_00376.swc,[24184.898  7660.689  3802.17 ],4.040682368115713,,"[168.277, 142.974, 147.423]","[167.987, 142.974, 147.409]",672,CP,672,CP,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/50k_0602/18454/Img_X_12091.2_Y_3828.95_Z_1900.38.v3dpbd.swc
36373,18454,"[24444.035, 7662.369, 4030.451]","[24444.0, 7662.36, 4030.46]",0.0372424488989424,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//18454/18454_00086.swc,[24446.  7664.  4032.],2.9867686552529515,,"[183.906, 139.851, 146.385]","[183.629, 139.846, 146.41]",672,CP,672,CP,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/50k_0602/18454/Img_X_12222_Y_3831.18_Z_2015.23.v3dpbd.swc
36374,18454,"[24862.57, 7496.087, 3845.991]","[24862.6, 7496.08, 3846.0]",0.0320936130707909,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//18454/pre_18454_00450.swc,[24872.  7503.  3844.],11.860798876972805,,"[168.684, 140.755, 139.13]","[168.412, 140.763, 139.136]",672,CP,672,CP,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/50k_0602/18454/Img_X_12431.3_Y_3748.04_Z_1923.v3dpbd.swc
36381,18454,"[25340.867, 9654.23, 3592.392]","[25340.8, 9654.24, 3592.4]",0.0682129020045894,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//18454/18454_00090.swc,[25342.  9656.  3594.],2.646177053790203,,"[155.217, 172.114, 129.45]","[154.942, 172.108, 129.441]",583,CLA,583,CLA,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/50k_0602/18454/Img_X_12670.4_Y_4827.12_Z_1796.2.v3dpbd.swc
36384,18454,"[26097.986, 7381.951, 4682.059]","[26098.0, 7381.96, 4682.06]",0.0166733319998933,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//18454/pre_18454_00579.swc,[26102.818  7392.802  4679.958],12.062612735223684,,"[219.159, 135.029, 120.829]","[218.921, 135.006, 120.867]",672,CP,672,CP,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/50k_0602/18454/Img_X_13049_Y_3690.98_Z_2341.03.v3dpbd.swc
36385,18454,"[24238.982, 7602.023, 4277.815]","[24239.0, 7602.02, 4277.82]",0.0189208879284337,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//18454/18454_00092.swc,[24240.  7602.  4278.],1.0349289830709223,,"[201.019, 136.132, 150.176]","[200.785, 136.087, 150.214]",672,CP,672,CP,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/50k_0602/18454/Img_X_12119.5_Y_3801.01_Z_2138.91.v3dpbd.swc
36386,18454,"[25496.084, 7550.478, 4582.998]","[25496.0, 7550.48, 4583.0]",0.0840476055567242,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//18454/18454_00093.swc,[25494.783  7556.224  4584.016],5.978749116663099,,"[214.881, 137.63, 130.115]","[214.653, 137.583, 130.165]",672,CP,672,CP,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/50k_0602/18454/Img_X_12748_Y_3775.24_Z_2291.5.v3dpbd.swc
36391,18454,"[25176.285, 8650.285, 4529.244]","[25176.2, 8650.28, 4529.24]",0.0852408352835823,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//18454/18454_01078.swc,[25177.984  8652.032  4530.   ],2.551498775229986,,"[213.873, 149.968, 138.568]","[213.661, 149.936, 138.628]",672,CP,672,CP,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/50k_0602/18454/Img_X_12588.1_Y_4325.14_Z_2264.62.v3dpbd.swc
36417,18454,"[18126.533, 11442.806, 5010.844]","[18126.54, 11442.8, 5010.84]",0.0100498756228063,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//18454/18454_00095.swc,[18126.527 11451.328  5008.128],8.944337650155282,,"[241.793, 170.517, 219.644]","[241.603, 170.484, 219.69]",15,PT,15,PT,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/50k_0602/18454/Img_X_9063.27_Y_5721.4_Z_2505.42.v3dpbd.swc
36418,18454,"[18762.553, 11323.72, 4929.68]","[18762.56, 11323.72, 4929.68]",0.007000000001426,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//18454/18454_00096.swc,[18763.775 11319.808  4929.904],4.104534565573998,,"[238.168, 170.079, 213.109]","[238.04, 170.052, 213.159]",15,PT,15,PT,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/50k_0602/18454/Img_X_9381.28_Y_5661.86_Z_2464.84.v3dpbd.swc
36419,18454,"[18645.693, 11246.81, 5082.251]","[18645.7, 11246.8, 5082.26]",0.0151657508889139,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//18454/18454_00097.swc,[18646.016 11249.984  5080.   ],3.904562203372711,,"[244.868, 167.042, 213.786]","[244.669, 167.0, 213.833]",15,PT,15,PT,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/50k_0602/18454/Img_X_9322.85_Y_5623.4_Z_2541.13.v3dpbd.swc
36420,18454,"[19264.186, 11104.499, 4988.21]","[19264.18, 11104.5, 4988.2]",0.0117046999115501,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//18454/18454_00098.swc,[19267.072 11111.808  4986.224],8.105225043143935,,"[241.016, 166.451, 207.32]","[240.821, 166.416, 207.378]",1113,IAD,1113,IAD,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/50k_0602/18454/Img_X_9632.09_Y_5552.25_Z_2494.1.v3dpbd.swc
36421,18454,"[19330.336, 12309.997, 5168.801]","[19330.34, 12310.0, 5168.8]",0.0050990195146315,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//18454/18454_00099.swc,[19324.928 12316.48   5168.944],8.443707834831585,,"[251.102, 186.54, 207.237]","[250.903, 186.491, 207.292]",1096,AMd,1096,AMd,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/50k_0602/18454/Img_X_9665.17_Y_6155_Z_2584.4.v3dpbd.swc
36422,18454,"[19388.387, 12343.825, 5278.524]","[19388.38, 12343.82, 5278.52]",0.00948683297937,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//18454/18454_00100.swc,[19391.104 12344.128  5280.   ],3.1068430922725927,,"[256.469, 186.445, 206.227]","[256.269, 186.392, 206.281]",1104,AMv,1104,AMv,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/50k_0602/18454/Img_X_9694.19_Y_6171.91_Z_2639.26.v3dpbd.swc
36441,18454,"[23476.352, 11301.776, 5498.203]","[23476.4, 11301.78, 5498.2]",0.0482597140506496,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//18454/18454_00105.swc,[23480.    11302.016  5498.   ],3.661517854661877,,"[265.457, 169.696, 156.948]","[265.273, 169.645, 157.01]",733,VPM,733,VPM,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/50k_0602/18454/Img_X_11738.2_Y_5650.89_Z_2749.1.v3dpbd.swc
36448,18454,"[23078.184, 12234.322, 5439.805]","[23078.2, 12234.32, 5439.8]",0.0168819430158561,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//18454/18454_00107.swc,[23084.746 12234.107  5445.029],8.390247016624512,,"[263.419, 185.801, 163.709]","[263.229, 185.75, 163.773]",733,VPM,733,VPM,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/50k_0602/18454/Img_X_11539.1_Y_6117.16_Z_2719.9.v3dpbd.swc
36452,18454,"[24348.064, 11886.47, 5510.324]","[24348.0, 11886.46, 5510.32]",0.0648999229568872,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//18454/18454_00109.swc,[24348.031 11888.     5510.   ],1.5642777886301773,,"[266.156, 179.785, 148.059]","[265.961, 179.724, 148.126]",718,VPL,718,VPL,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/50k_0602/18454/Img_X_12174_Y_5943.23_Z_2755.16.v3dpbd.swc
36453,18454,"[24333.504, 12912.081, 5519.818]","[24333.6, 12912.08, 5519.82]",0.0960260381332195,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//18454/18454_00169.swc,[24334.016 12913.984  5520.   ],1.9790596251754624,,"[267.261, 197.347, 150.046]","[267.055, 197.3, 150.116]",6,int,0,,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/50k_0602/18454/Img_X_12166.8_Y_6456.04_Z_2759.91.v3dpbd.swc
36536,18454,"[29087.889, 10666.332, 4968.664]","[29087.8, 10666.34, 4968.66]",0.0894483090951743,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//18454/pre_18454_00865.swc,[29089. 10675.  4969.],8.745366830499227,,"[234.209, 172.429, 83.981]","[233.998, 172.415, 83.98]",672,CP,672,CP,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/50k_0602/18454/Img_X_14543.9_Y_5333.17_Z_2484.33.v3dpbd.swc
36690,18454,"[23804.08, 8542.636, 6169.611]","[23804.0, 8542.64, 6169.62]",0.0806039701272314,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//18454/18454_00126.swc,[23809.984  8543.488  6170.   ],5.97782912100891,,"[290.866, 131.181, 146.587]","[290.699, 131.101, 146.652]",549,TH,549,TH,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/50k_0602/18454/Img_X_11902_Y_4271.32_Z_3084.81.v3dpbd.swc
36691,18454,"[23648.836, 9306.061, 5890.355]","[23648.8, 9306.06, 5890.36]",0.0363593179254739,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//18454/18454_00127.swc,[23656.512  9317.504  5895.872],14.842523841989465,,"[280.177, 139.07, 150.191]","[280.009, 138.985, 150.253]",1020,PO,1020,PO,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/50k_0602/18454/Img_X_11824.4_Y_4653.03_Z_2945.18.v3dpbd.swc
36692,18454,"[23827.34, 9500.056, 5907.494]","[23827.4, 9500.06, 5907.5]",0.0604317797202174,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//18454/18454_01079.swc,[23830.  9498.  5908.],3.3998194069687844,,"[281.082, 142.395, 148.223]","[280.908, 142.314, 148.284]",733,VPM,733,VPM,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/50k_0602/18454/Img_X_11913.7_Y_4750.03_Z_2953.75.v3dpbd.swc
36695,18454,"[24261.99, 9040.829, 5904.107]","[24262.0, 9040.82, 5904.1]",0.0151657508868749,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//18454/18454_00128.swc,[24258.432  9046.464  5908.912],8.215875729343262,,"[279.823, 137.442, 143.05]","[279.635, 137.352, 143.124]",484682520,or,0,,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/50k_0602/18454/Img_X_12131_Y_4520.41_Z_2952.05.v3dpbd.swc
36704,18454,"[25228.17, 9340.512, 5909.835]","[25228.2, 9340.52, 5909.84]",0.0314483703893618,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//18454/18454_01091.swc,[25230.016  9342.016  5910.   ],2.3868299059635603,,"[280.58, 144.814, 130.999]","[280.381, 144.734, 131.077]",262,RT,262,RT,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/50k_0602/18454/Img_X_12614.1_Y_4670.26_Z_2954.92.v3dpbd.swc
36705,18454,"[24933.605, 8576.777, 6245.674]","[24933.6, 8576.78, 6245.68]",0.008366600266393,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//18454/18454_00129.swc,[24936.     8579.968  6246.   ],4.003096551421994,,"[294.8, 135.572, 132.728]","[294.615, 135.507, 132.792]",496345668,LGd-co,496345668,LGd-co,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/50k_0602/18454/Img_X_12466.8_Y_4288.39_Z_3122.84.v3dpbd.swc
36718,18454,"[18915.838, 10614.249, 5572.234]","[18915.84, 10614.24, 5572.24]",0.0109999999997605,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//18454/18454_00130.swc,[18918.016 10614.016  5572.   ],2.202891054954773,,"[267.041, 153.752, 210.696]","[266.837, 153.719, 210.749]",362,MD,362,MD,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/50k_0602/18454/Img_X_9457.92_Y_5307.12_Z_2786.12.v3dpbd.swc
36720,18454,"[21345.961, 12300.982, 5809.828]","[21346.0, 12300.98, 5809.82]",0.0398622628568094,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//18454/18454_00131.swc,[21356.801 12300.672  5813.296],11.385461079815862,,"[281.359, 184.993, 181.726]","[281.172, 184.927, 181.78]",733,VPM,733,VPM,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/50k_0602/18454/Img_X_10673_Y_6150.49_Z_2904.91.v3dpbd.swc
36721,18454,"[21541.887, 12226.154, 6068.933]","[21541.8, 12226.16, 6068.94]",0.0874871419118622,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//18454/18454_00132.swc,[21544.    12227.968  6070.   ],2.982256528202456,,"[292.919, 183.102, 178.532]","[292.733, 183.033, 178.586]",733,VPM,733,VPM,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/50k_0602/18454/Img_X_10770.9_Y_6113.08_Z_3034.47.v3dpbd.swc
36728,18454,"[23566.855, 10221.451, 5730.694]","[23566.8, 10221.46, 5730.7]",0.0560535458291901,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//18454/18454_00133.swc,[23556.416 10230.592  5733.088],14.080548213758991,,"[274.659, 152.261, 152.777]","[274.483, 152.198, 152.834]",733,VPM,733,VPM,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/50k_0602/18454/Img_X_11783.4_Y_5110.73_Z_2865.35.v3dpbd.swc
