,brainid,raw_somaxyz,swc42k_raw_somaxyz,swc42k_raw_somaxyz_dist,swc1891_swcfile,swc1891_raw_somaxyz,swc1891_raw_somaxyz_dist,raw_somaregion,regi_somaxyz,swc42k_regi_somaxyz,regi_somaregion_n671_u32,regi_somaregion,regi_somaregion_n671_u32_check,regi_somaregion_check,swc1891_42kfile
42120,18461,"[17601.447, 2197.772, 4861.892]","[17601.44, 2197.78, 4861.9]",0.0133041346964463,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//18461/18461_4862_x17603_y2198.swc,[17603.199  2198.208  4862.608],1.9422296465665585,,"[220.488, 31.653, 170.649]","[220.322, 31.548, 170.689]",320,MOp1,320,MOp1,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/50k_0602/18461/Img_X_8800.72_Y_1098.89_Z_2430.95.v3dpbd.swc
42121,18461,"[16830.268, 2712.465, 4183.497]","[16830.26, 2712.46, 4183.5]",0.0098994949378934,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//18461/18461_4178_x16825_y2713.swc,[16825.729  2713.792  4178.464],6.906123297480943,,"[185.902, 47.375, 179.646]","[185.761, 47.24, 179.721]",943,MOp2/3,943,MOp2/3,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/50k_0602/18461/Img_X_8415.13_Y_1356.23_Z_2091.75.v3dpbd.swc
42122,18461,"[19014.266, 2873.929, 4232.987]","[19014.26, 2873.92, 4232.98]",0.0128840987275852,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//18461/18461_4233_x19011_y2874.swc,[19011.393  2874.24   4233.312],2.90800189133318,,"[191.254, 50.712, 140.143]","[191.017, 50.627, 140.17]",320,MOp1,320,MOp1,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/50k_0602/18461/Img_X_9507.13_Y_1436.96_Z_2116.49.v3dpbd.swc
42125,18461,"[23858.275, 6529.233, 4413.157]","[23858.2, 6529.24, 4413.16]",0.0753856750324745,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//18461/18461_4410_x23856_y6531.swc,[23856.385  6531.776  4410.832],3.929958523955311,,"[213.649, 137.62, 45.848]","[213.439, 137.546, 45.893]",873,SSs1,873,SSs1,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/50k_0602/18461/Img_X_11929.1_Y_3264.62_Z_2206.58.v3dpbd.swc
42138,18461,"[7595.875, 9468.072, 3220.037]","[7595.88, 9468.08, 3220.04]",0.0098994949365613,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//18461/18461_3220_x7596_y9465.swc,[7595.776 9465.088 3220.432],3.011657683071281,,"[138.494, 211.901, 341.635]","[138.215, 211.829, 341.723]",961,PIR,961,PIR,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/50k_0602/18461/Img_X_3797.94_Y_4734.04_Z_1610.02.v3dpbd.swc
42223,18462,"[11975.158, 10036.441, 3536.789]","[11975.16, 10036.44, 3536.78]",0.0092736184956196,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//18462/18462_00007.swc,[11982.72  10038.528  3539.328],8.245358330600029,,"[196.706, 148.928, 272.95]","[196.537, 148.935, 273.01]",672,CP,672,CP,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/50k_0602/18462/Img_X_5987.58_Y_5018.22_Z_1768.39.v3dpbd.swc
42323,18462,"[10062.612, 9038.801, 6156.372]","[10062.62, 9038.8, 6156.38]",0.0113578166926332,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//18462/18462_00022.swc,[10062.976  9041.024  6158.   ],2.779318081832278,,"[311.573, 153.396, 327.316]","[311.514, 153.334, 327.385]",27,IGL,27,IGL,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/50k_0602/18462/Img_X_5031.31_Y_4519.4_Z_3078.19.v3dpbd.swc
42324,18462,"[10870.592, 9478.744, 5547.631]","[10870.6, 9478.74, 5547.64]",0.0126885775405974,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//18462/18462_00012.swc,[10874.232  9484.408  5547.84 ],6.736035703585802,,"[281.494, 150.113, 310.42]","[281.38, 150.012, 310.496]",733,VPM,733,VPM,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/50k_0602/18462/Img_X_5435.3_Y_4739.37_Z_2773.82.v3dpbd.swc
42325,18462,"[10418.486, 9388.187, 5674.629]","[10418.48, 9388.18, 5674.62]",0.012884098727091,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//18462/18462_00013.swc,[10424.512  9387.648  5676.944],6.477840843985066,,"[286.402, 151.264, 319.068]","[286.175, 151.133, 319.121]",733,VPM,733,VPM,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/50k_0602/18462/Img_X_5209.24_Y_4694.09_Z_2837.31.v3dpbd.swc
42326,18462,"[10300.707, 9375.89, 5882.645]","[10300.7, 9375.88, 5882.64]",0.0131909059582712,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//18462/18462_00015.swc,[10302.528  9377.408  5883.52 ],2.527051641735833,,"[297.068, 154.617, 322.05]","[296.951, 154.508, 322.121]",549,TH,549,TH,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/50k_0602/18462/Img_X_5150.35_Y_4687.94_Z_2941.32.v3dpbd.swc
